,song_uri,key,mode,valence,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,duration_ms
62,5qUNpGMN3XRn9uqZBR9e6N,0,0,0.751,0.659,0.0626,0.75,7.41e-05,0.0892,-8.119,0.0266,112.913,4,258573
63,7Kh8RgD3lF7566uqr9gDWX,7,1,0.426,0.29,0.322,0.594,0.33,0.138,-7.837,0.0353,162.551,4,242160
64,56y9EmjGAAejQ6QX9blIGI,9,1,0.241,0.348,0.0201,0.444,1.23e-05,0.0639,-10.001,0.0288,138.194,4,286040
65,4iiIHK46Csj8W7dDEviJf5,0,1,0.916,0.68,0.0348,0.816,0.0,0.0907,-8.896,0.0506,107.874,4,241907
66,3oCUfoqrkQiapnJk7UL8IE,0,1,0.301,0.358,0.157,0.774,0.0,0.182,-6.825,0.0362,176.116,4,253760
67,4ZpXHlV2vQVfPXUvbDSZ92,0,1,0.49,0.345,0.00642,0.531,7.28e-06,0.14,-12.708,0.0305,176.302,4,313693
68,2MOOJh1xUgND4rLjB6h4jY,6,0,0.67,0.79,0.00418,0.727,0.000162,0.0628,-11.84,0.105,123.958,4,337093
69,6NtDQURC7nQhB7fnwd4Lct,9,1,0.622,0.697,0.632,0.481,1.92e-05,0.0954,-14.456,0.0332,142.154,4,289707
70,6oOV3BQc3KYgxBaVZI4nRs,4,0,0.265,0.481,0.101,0.889,0.0285,0.157,-7.998,0.076,87.122,4,239360
71,7IifQT0luoDma04zd3L9go,11,1,0.25,0.602,0.727,0.338,0.0,0.0849,-12.371,0.0293,126.232,4,229227
72,4pEcgZ7nZtrQWqDZrO5XPN,8,1,0.49,0.396,0.0819,0.733,0.0,0.125,-5.347,0.0322,137.974,4,246000
73,64B4UbGRLtGRBtiN2m8OvF,7,0,0.9,0.701,0.142,0.792,1.28e-06,0.764,-8.644,0.0549,133.451,4,257520
74,0n4d3yOJ5ph8S4rYIOjeML,1,1,0.851,0.885,0.0114,0.962,0.00336,0.0849,-4.72,0.0782,100.74,4,200520
75,7xez8LRby1hw2nBvse9E9e,7,0,0.899,0.668,0.0766,0.892,1e-05,0.135,-6.767,0.0775,108.237,4,256733
76,53t0qoKIstEnyoqUFKicpH,5,0,0.971,0.709,0.00365,0.792,1.06e-05,0.0892,-6.435,0.0378,117.634,4,247000
77,2xudmLTZqwDNiDGMuOqSRD,5,1,0.557,0.592,0.0157,0.921,1.65e-05,0.227,-4.712,0.0367,127.116,4,260573
78,3pVJdvuKppX2YVwYsfXZpq,1,1,0.684,0.683,0.0478,0.701,0.0,0.67,-7.756,0.0471,114.252,3,278267
79,2Z9QcYXO5vE8xaYsryKpYq,9,1,0.471,0.585,0.359,0.335,0.0,0.0796,-15.132,0.0321,135.926,4,213693
80,16MXkrNzdLPShZqxSbre4u,10,0,0.841,0.672,0.00324,0.804,0.357,0.041,-9.625,0.0468,120.838,4,230867
81,57ysLbmFhxX9WL9e5QTAmz,1,1,0.886,0.767,0.0932,0.852,0.00343,0.0837,-8.297,0.0729,119.971,4,321178
82,1DTLJp3baHKyTYZMWD4zgp,9,1,0.449,0.587,0.0168,0.409,0.0353,0.0458,-15.075,0.0279,143.639,4,316627
83,2PBqZxkVJ7Y1gLzflSQWWG,5,1,0.122,0.325,0.806,0.356,0.0,0.109,-6.733,0.0276,152.2,4,227880
84,5JVyJPYXLChgJ2pFoh4jRt,7,1,0.64,0.649,0.0465,0.805,3.51e-06,0.123,-10.53,0.0455,104.968,4,320507
85,78bDGxqn2KF2VU1G3Kz6J0,7,0,0.637,0.594,0.198,0.421,0.0,0.0832,-13.707,0.0312,74.041,4,238467
86,1a6VLZ3BplAosOWmCcFDAW,5,1,0.46,0.498,0.0335,0.793,0.0,0.35,-4.197,0.0315,142.409,4,311773
87,2o4u19nlQWOGg5mLanT7Pg,6,1,0.566,0.435,0.254,0.666,1.4e-05,0.0541,-10.596,0.031,176.431,4,232640
88,2QzLYgjE7zTj1lb6Wi1aPx,9,0,0.9,0.792,0.0239,0.897,0.000999,0.0491,-6.777,0.0537,120.639,4,409333
89,3yNVfRQlUPViUh8O2V9SQn,0,1,0.837,0.862,0.12,0.663,0.0,0.318,-9.004,0.21,85.308,4,238267
90,4xDDj82QPCPhvXUVHc5Pud,5,1,0.267,0.52,0.00642,0.764,0.000177,0.104,-3.954,0.0293,117.971,4,268853
91,3Aimpqxpvmz7jhJlNnEd5c,8,1,0.879,0.865,0.049,0.512,0.0173,0.201,-13.376,0.0521,92.512,4,259573
92,1KmGMot8eJCgEPVjTpkkVG,5,0,0.646,0.775,0.0228,0.676,0.0,0.0631,-10.582,0.042,129.948,4,200680
93,3P6fS71hWhZvOnnxQojJ0Z,1,1,0.826,0.966,0.0678,0.505,0.0,0.197,-14.762,0.111,113.592,4,258533
94,4WqIpnqW9EvBXlT4jJFa0M,7,1,0.402,0.808,0.00427,0.912,0.0853,0.315,-5.277,0.149,125.812,4,383427
95,6kN06eEOblRAuWI0xUUS91,2,0,0.325,0.727,0.185,0.58,3.58e-06,0.125,-6.804,0.136,137.048,4,159229
96,6eBK3edMW7bEzecF1eCezc,1,1,0.253,0.526,0.0775,0.365,1.35e-05,0.0618,-12.605,0.028,131.253,4,394133
97,07efOAoPwcRdd4W6gi8BRF,2,1,0.453,0.553,0.00532,0.702,4.99e-06,0.0446,-4.829,0.108,201.868,4,240200
98,2Bdzf6aG9MlmKtAgve3XLJ,6,1,0.771,0.564,0.00146,0.776,0.351,0.157,-9.778,0.0851,113.532,4,244160
99,015qd1I4v00JIoK7yOUgKC,4,1,0.395,0.706,0.763,0.44,0.0,0.0958,-11.577,0.0493,90.012,4,292933
100,0Lv8gNS3cZPpFF2wVeANcj,6,0,0.549,0.657,0.24,0.47,2.58e-06,0.261,-12.555,0.0617,149.67,5,210067
101,2ENmkocNNewTRbuNd6WJpR,1,1,0.936,0.637,0.000341,0.849,0.0386,0.141,-6.855,0.0362,104.074,4,209813
102,1gVgkQFOKa8Wc1HYsJtPdH,6,1,0.239,0.626,0.467,0.134,0.0,0.113,-14.898,0.0298,91.893,4,334107
103,0flZtKtmkZMNqFF7V7Yfmu,1,1,0.732,0.724,0.0595,0.692,0.0108,0.0316,-5.109,0.0333,104.086,4,350267
104,4aocMNrPxcJ3OQChTDhVPj,10,1,0.112,0.636,0.215,0.354,0.000662,0.0961,-11.964,0.0283,126.433,4,256000
105,3IDsegNBHC4pjGCOMTQYlU,1,1,0.919,0.702,0.426,0.901,0.00153,0.0368,-4.45,0.0264,97.862,4,236973
106,4wDSLkTUIpRsn3UbCzW9wV,2,1,0.76,0.746,0.0146,0.852,3.02e-05,0.26,-9.676,0.0606,114.165,4,235320
107,7KVrjDjOJiIHwGagvIt3cA,1,1,0.0738,0.366,0.806,0.35,0.0,0.0936,-8.203,0.0339,62.977,4,317800
108,6TSM5vkz0WzyZsNAKKYDcw,1,0,0.937,0.684,0.207,0.818,2.19e-06,0.0251,-8.686,0.0405,109.864,4,246107
109,5t5rCnsgRBtcKqTB7SbD1Q,2,1,0.232,0.273,0.0241,0.537,0.0,0.0922,-9.612,0.0306,81.814,4,287320
110,48eiLW57CqSmCYNZRM2J8M,7,1,0.331,0.536,0.674,0.242,0.0,0.331,-11.716,0.0277,137.989,4,276346
111,3lHJkG9kcsgsfjlEH2tkxi,5,0,0.255,0.488,0.487,0.647,0.0,0.374,-7.63,0.0343,150.916,4,234933
