,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,mood
57,you broke me first,you broke me first,Tate McRae,2020-04-17,169265,86,0.667,0.785,0.667,0.373,0.0,0.0906,-9.389,0.05,124.148,4,1
58,Fix It to Break It,Fix It to Break It,Clinton Kane,2020-03-27,198798,68,0.493,0.845,0.493,0.461,0.0,0.115,-8.524,0.0456,51.414,4,1
59,Walked Through Hell,Walked Through Hell,Anson Seabra,2020-11-20,216864,73,0.508,0.664,0.508,0.404,0.0,0.104,-11.092,0.0788,81.713,4,1
60,Astronomy,Astronomy,Conan Gray,2021-05-07,243907,76,0.471,0.593,0.471,0.335,2.11e-05,0.297,-8.767,0.0273,145.252,3,1
61,Water Fountain,Narrated For You,Alec Benjamin,2018-11-16,218893,82,0.723,0.388,0.723,0.504,7.4e-05,0.087,-5.572,0.0392,133.975,4,1
62,Train Wreck,Back from the Edge,James Arthur,2016-10-28,208826,82,0.311,0.701,0.311,0.485,0.0,0.0726,-5.726,0.0365,77.355,4,1
63,Cry Over Boys,"Oh No, Not Again! - EP",Alexander 23,2021-02-19,170812,65,0.855,0.837,0.855,0.254,2.44e-05,0.527,-13.551,0.0664,118.006,4,1
64,Changes,Changes,Hayd,2020-11-13,214814,51,0.648,0.939,0.648,0.115,3.88e-05,0.11,-17.133,0.0445,119.967,4,1
65,Heartbreak Anniversary,TAKE TIME,Giveon,2020-03-27,198370,85,0.449,0.524,0.449,0.465,1.02e-06,0.303,-8.964,0.0791,89.087,3,1
66,you were good to me,you were good to me,Jeremy Zucker,2019-04-19,219173,0,0.46,0.909,0.46,0.0834,1.98e-05,0.112,-15.095,0.0433,98.329,4,1
67,Heather,Kid Krow,Conan Gray,2020-03-20,198040,86,0.357,0.584,0.357,0.425,0.0,0.322,-7.301,0.0333,102.078,3,1
68,when was it over? (feat. Sam Hunt),when was it over? (feat. Sam Hunt),Sasha Alex Sloan,2021-04-23,218093,72,0.626,0.816,0.626,0.453,1.91e-06,0.0904,-9.295,0.0306,129.958,4,1
69,Grey,The Good Times and The Bad Ones,Why Don't We,2021-01-15,277694,67,0.298,0.869,0.298,0.295,0.0,0.111,-8.789,0.0318,171.361,4,1
70,Back to Friends,Back to Friends,Lauren Spencer-Smith,2021-07-15,215980,67,0.749,0.82,0.749,0.319,0.0,0.0993,-9.946,0.0771,116.828,4,1
