,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
83,Maybe Sparrow,Truckdriver Gladiator Mule,Neko Case,2015-11-27,157520,4,0.279,0.431,0.279,0.566,0.0,0.109,-5.724,0.0361,184.628,3
84,Ragtime,"The Worse Things Get, The Harder I Fight, The Harder I Fight, The More I Love You (Deluxe Edition)",Neko Case,2013-09-03,314347,21,0.447,0.0992,0.447,0.449,0.000839,0.21,-6.384,0.0472,82.79,4
85,Happening,Do Right,Sugar Candy Mountain,2018-05-04,256664,3,0.261,0.0474,0.261,0.627,0.652,0.226,-8.558,0.0352,174.029,4
86,The Dealer,24 Karat Gold: Songs from the Vault,Stevie Nicks,2014-09-30,278138,50,0.704,0.0358,0.704,0.78,0.000375,0.0754,-6.401,0.0284,121.939,4
87,I Just Wanna Hang Around You,20/20,George Benson,1985-01-15,268666,42,0.514,0.539,0.514,0.462,0.0,0.0611,-13.726,0.0336,72.676,4
88,Please Don't Walk Away,20/20,George Benson,1985-01-15,230133,34,0.72,0.548,0.72,0.489,0.0,0.0725,-9.165,0.028,99.157,4
89,Nothing's Gonna Change My Love for You,20/20,George Benson,1985-01-15,242678,70,0.553,0.764,0.553,0.614,0.0,0.0811,-5.098,0.0306,136.628,4
90,Spit on a Stranger,Spit on a Stranger,Valley Queen,2019-11-15,195712,9,0.34,0.936,0.34,0.132,0.0,0.111,-11.044,0.0383,78.113,4
91,For The First Time,For The First Time,Best Coast,2019-11-05,218714,27,0.69,0.00805,0.69,0.671,8.7e-05,0.088,-6.193,0.0249,109.96,4
92,Song To The Siren - Recorded at Spotify Studios London,Spotify Singles,Wolf Alice,2017-11-15,211159,34,0.372,0.963,0.372,0.15,0.0,0.124,-11.116,0.0294,68.776,4
93,Beautifully Unconventional,Visions Of A Life,Wolf Alice,2017-09-29,133160,37,0.745,0.0217,0.745,0.837,0.000969,0.21,-4.065,0.0308,104.493,4
94,Peace Signs,Epic,Sharon Van Etten,2010-09-21,173160,42,0.572,0.1,0.572,0.879,0.212,0.0768,-6.575,0.0358,128.034,4
95,If I Lost You,W T F,Why The Face,2019-02-22,166964,0,0.466,0.525,0.466,0.528,0.0,0.138,-7.484,0.0479,117.304,4
96,Sign,Retrofuturism,VHS Collection,2018-11-02,260357,0,0.686,0.012,0.686,0.603,0.00551,0.0865,-6.261,0.0347,112.006,4
97,The Basement (Live on Standard Selects),Lunar Vacation (Live on Standard Selects),Lunar Vacation,2019-05-20,303155,0,0.328,0.144,0.328,0.706,0.638,0.107,-8.369,0.0322,171.304,4
98,Breaking Your Silence,Reader As Detective,Generationals,2019-07-19,202466,30,0.691,0.0391,0.691,0.687,0.0138,0.0612,-4.117,0.0361,140.083,4
99,Put a Light On,Heza,Generationals,2013,226933,61,0.688,0.056,0.688,0.771,0.000106,0.0561,-4.463,0.0291,100.01,4
