,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
29,Half A Man,A Place We Knew,Dean Lewis,2019-03-22,179120,0,0.507,0.855,0.507,0.204,0.0,0.143,-11.575,0.0504,77.765,4
30,Little Do You Know,It's About Us,Alex & Sierra,2014-10-06,185200,76,0.5,0.746,0.5,0.292,0.0,0.188,-8.554,0.0323,145.879,4
31,Say You Won't Let Go,Say You Won't Let Go,James Arthur,2016-09-09,211240,70,0.4,0.693,0.4,0.564,0.0,0.0863,-7.444,0.0523,99.269,4
32,It's You,It's You,Ali Gatie,2019-06-14,212606,3,0.732,0.374,0.732,0.463,0.0,0.194,-6.972,0.0287,95.971,4
33,Meant To Be,Meant To Be,Ber,2021-10-06,163226,69,0.5,0.87,0.5,0.156,0.0,0.125,-11.472,0.0469,173.794,4
34,Loved You Once,Loved You Once,Clara Mae,2019-06-21,148603,57,0.444,0.655,0.444,0.436,0.0,0.157,-5.988,0.042,77.724,3
35,Someone You Loved,Breach,Lewis Capaldi,2018-11-08,182160,76,0.501,0.751,0.501,0.405,0.0,0.105,-5.679,0.0319,109.891,4
36,Closure,Closure,Hayd,2021-04-01,196277,45,0.696,0.967,0.696,0.106,0.0,0.292,-16.185,0.0458,124.168,4
37,You & Me,You & Me,James TW,2019-01-18,231653,1,0.714,0.196,0.714,0.683,7.73e-06,0.102,-6.333,0.0443,127.021,4
38,Let Me Down Slowly,Narrated For You,Alec Benjamin,2018-11-16,169353,84,0.652,0.74,0.652,0.557,0.0,0.124,-5.714,0.0318,150.073,4
39,All I Want,In A Perfect World,Kodaline,2013-10-08,305746,0,0.209,0.172,0.209,0.412,0.15,0.0843,-9.733,0.0443,86.26,3
40,Lonely,Lonely,Noah Cyrus,2019-09-27,144386,0,0.594,0.779,0.594,0.26,0.0,0.0924,-9.062,0.0601,84.648,3
41,Already Gone,Already Gone,Sleeping At Last,2015-10-06,240790,58,0.447,0.956,0.447,0.206,4.56e-06,0.107,-11.75,0.0519,66.734,4
42,Your Power,Your Power,Billie Eilish,2021-04-29,245896,47,0.634,0.937,0.634,0.285,0.000359,0.232,-14.007,0.0807,129.65,4
43,Bruises,Bruises,Lewis Capaldi,2017-06-19,218492,0,0.575,0.961,0.575,0.323,0.0,0.169,-6.213,0.0717,118.641,4
44,Dynasty,Dynasty,MIIA,2016-01-29,225515,61,0.493,0.256,0.493,0.594,0.0,0.0759,-4.404,0.0378,123.751,4
45,Ripples,Ripples,Maximillian,2019-10-25,195404,60,0.683,0.682,0.683,0.346,0.0,0.278,-9.475,0.0785,129.682,4
46,If you're meant to come back,If you're meant to come back,Justin Jesso,2020-04-17,179354,59,0.559,0.624,0.559,0.335,0.0,0.0717,-10.262,0.0364,93.017,4
47,Dusk Till Dawn - Radio Edit,Dusk Till Dawn (Radio Edit),ZAYN,2017-09-07,239000,80,0.258,0.101,0.258,0.437,1.27e-06,0.106,-6.593,0.039,180.043,4
48,Jealous,Jealous,Labrinth,2014-11-21,287693,6,0.439,0.874,0.439,0.153,0.0,0.107,-8.95,0.0479,116.76,3
49,What We Had,What We Had,Sody,2019-11-15,182813,0,0.655,0.953,0.655,0.449,0.000375,0.109,-7.437,0.0418,123.842,4
